site_id,visit_date,species,capture_life_stage,capture_animal_state,length,weight
70550,2014-07-14,ramu,adult,healthy,45,11
70550,2014-07-16,ramu,adult,healthy,58,21
70550,2014-07-14,ramu,adult,healthy,54,21
70550,2014-07-14,ramu,adult,healthy,52,16
70550,2014-07-14,ramu,adult,healthy,52,19
70550,2014-08-10,ramu,adult,healthy,47,11
70550,2014-08-10,ramu,adult,healthy,46,11
70550,2014-08-10,ramu,adult,healthy,58,24
70550,2014-08-10,ramu,adult,healthy,47,10
70550,2014-08-10,ramu,adult,healthy,46,10
70550,2014-08-10,ramu,adult,healthy,47,11
70550,2014-08-10,ramu,adult,healthy,61,25
70550,2014-08-10,ramu,adult,healthy,57,21
70550,2014-08-10,ramu,adult,healthy,56,24
70550,2014-08-10,ramu,adult,healthy,54,17
70550,2014-08-10,ramu,adult,healthy,55,17
70550,2014-08-10,ramu,adult,healthy,57,20
70550,2014-08-10,ramu,adult,healthy,52,16
70550,2014-08-10,ramu,adult,healthy,59,28
70550,2014-08-10,ramu,adult,healthy,55,17
70550,2014-08-10,ramu,adult,healthy,59,24
70550,2014-08-10,ramu,adult,healthy,51,20
70550,2014-08-10,ramu,adult,healthy,58,20
70550,2014-08-10,ramu,adult,healthy,51,12
70550,2014-08-10,ramu,adult,healthy,55,21
70550,2014-08-10,ramu,adult,healthy,54,23
70550,2014-08-11,ramu,adult,healthy,58,22
70550,2014-08-11,ramu,adult,healthy,59,23
70550,2014-08-11,ramu,adult,healthy,50,18
70550,2014-08-11,ramu,adult,healthy,55,21
70550,2014-08-11,ramu,adult,healthy,55,20
70550,2014-08-11,ramu,adult,healthy,48,14
70550,2014-08-11,ramu,adult,healthy,53,17
70550,2014-08-11,ramu,adult,healthy,52,17
70550,2014-08-11,ramu,adult,healthy,62,30
70550,2014-08-11,ramu,adult,healthy,55,19
70550,2014-08-11,ramu,adult,healthy,48,16
70550,2014-08-11,ramu,adult,healthy,71,45
70550,2014-08-11,ramu,adult,healthy,60,27
70550,2014-08-12,ramu,adult,healthy,48,13
70550,2014-08-12,ramu,adult,healthy,53,18
70550,2014-08-12,ramu,adult,healthy,54,19
70550,2014-08-12,ramu,adult,healthy,57,21
70550,2014-09-07,ramu,adult,healthy,52,14
70550,2014-09-07,ramu,adult,healthy,47,13
70550,2014-09-07,ramu,adult,healthy,51,18
70550,2014-09-07,ramu,adult,healthy,61,26
70550,2014-09-07,ramu,adult,healthy,51,13
70550,2014-08-10,ramu,adult,healthy,48,12
70550,2014-08-10,ramu,adult,healthy,56,23
70550,2014-08-10,ramu,adult,healthy,53,17
70550,2014-08-10,ramu,adult,healthy,50,13
70550,2014-08-10,ramu,adult,healthy,42,11
70550,2014-08-10,ramu,adult,healthy,48,11
70550,2014-09-07,ramu,adult,healthy,57,26
70550,2014-09-07,ramu,adult,healthy,49,11
70550,2014-09-07,ramu,adult,healthy,50,13
70550,2014-08-10,ramu,adult,healthy,45,11
70550,2014-09-07,ramu,adult,healthy,44,11
70550,2014-09-07,ramu,adult,healthy,51,19
70550,2014-09-07,ramu,adult,healthy,51,18
70550,2014-09-07,ramu,adult,healthy,55,25
70550,2014-09-07,ramu,adult,healthy,59,23
70550,2014-09-07,ramu,adult,healthy,58,25
70550,2014-09-07,ramu,adult,healthy,53,20
70550,2014-09-07,ramu,adult,healthy,64,30
70550,2014-09-07,ramu,adult,healthy,52,17
70550,2014-09-08,ramu,adult,healthy,47,11
70550,2014-09-08,ramu,adult,healthy,48,14
70550,2014-09-08,ramu,adult,healthy,45,11
70550,2014-09-08,ramu,adult,healthy,55,19
70550,2014-08-10,ramu,adult,healthy,54,22
70550,2014-08-10,ramu,adult,healthy,52,20
70550,2014-08-10,ramu,adult,healthy,54,23
70550,2014-08-10,ramu,adult,healthy,67,38
70550,2014-08-10,ramu,adult,healthy,57,22
70550,2014-08-10,ramu,adult,healthy,53,20
